ID,TYPE,PRODUCT_NAME,BUY_DATE,BUY_PRICE,SELLING_PRICE,SELL_DATE,EXPIRATION_DATE,EXPIRED,SOLD,ON_SALE
00012,meat,pork,2023-11-15,6.0,9.0,2023-11-20,2023-11-30,0,1,0
00021,fruit,apple,2023-11-17,1.0,1.3,2023-11-20,2023-11-30,0,1,0
00022,fruit,banana,2023-11-12,0.9,1.1700000000000002,2023-11-15,2023-11-20,0,1,0
00023,fruit,mango,2023-11-17,3.0,3.9000000000000004,2023-11-20,2023-11-25,0,1,0
00024,fruit,pineapple,2023-11-10,5.0,6.5,2023-11-20,2023-11-25,0,1,0
00025,fruit,mango,2023-11-12,3.0,3.9000000000000004,2023-11-20,2023-11-28,0,1,0
00026,fruit,mango,2023-11-16,4.0,5.2,2023-11-18,2023-11-25,0,1,0
00027,fruit,mango,2023-11-17,3.0,3.9000000000000004,2023-11-20,2023-11-29,0,1,0
00028,fruit,banana,2023-11-15,1.2,1.56,2023-10-22,2023-11-20,0,1,0
00029,fruit,banana,2023-11-18,0.9,1.1700000000000002,2023-11-19,2023-11-20,0,1,0
00030,fruit,apple,2023-11-15,1.5,1.9500000000000002,2023-11-20,2023-11-30,0,1,0
30,fruit,pear,2023-11-03,0.8,1.04,2023-11-20,2023-11-30,0,1,0
